area,year,mx_mean,population_density,CT.x,CT.y,CSDNAME,Aboriginal,SocScore,MatScore,msd,CT,income,education,densitygroup,incomegroup,msdgroup,edugroup
2,2003,0.000255503,2883.877551,2.01,2.01,Vancouver,0.011852542,1.025357664,1.005781022,6.98E-06,2.01,62551,0.284342994,2,3,2,2
2,2001,0.000299044,2864.285714,2.01,2.01,Vancouver,0.009821429,1.018321168,1.00540146,6.60E-06,2.01,57045,0.231121281,2,2,2,1
2,1996,0.00039125,2437,2.01,2.01,Vancouver,0.003077554,152.5259091,152.4983333,0.015853785,2.01,57499,0.267447433,2,3,4,1
2,1993,0.000432253,1955.2,2.01,2.01,Vancouver,0.001231022,61.6195088,61.60020429,0.006345251,2.01,51309,0.289243124,2,2,4,2
2,2008,0.000206621,2979.711761,2.01,2.01,Vancouver,0.012959627,1.029315561,1.003317465,7.06E-06,2.01,66587,0.380149174,3,3,2,4
2,1990,0.000432926,1634,2.01,2.01,Vancouver,0,1.015241935,1.001451613,6.23E-06,2.01,47183,0.303773585,2,2,2,2
2,1997,0.000393262,2522.457143,2.01,2.01,Vancouver,0.005441886,122.2279098,122.1999367,0.012684541,2.01,57408,0.260182203,2,3,4,1
2,2005,0.000266247,2903.469388,2.01,2.01,Vancouver,0.013883655,1.032394161,1.006160584,7.37E-06,2.01,68057,0.337564707,2,3,3,3
2,2016,0.000174629,3170.103093,2.01,2.01,Vancouver,0.016570008,1.023478261,0.99326087,6.23E-06,2.01,72448,0.414913958,3,3,2,4
2,2014,0.000184753,3133.814433,2.01,2.01,Vancouver,0.013962105,1.021855073,0.995463768,6.26E-06,2.01,67570,0.41059221,3,3,2,4
2,1991,0.000429015,1634,2.01,2.01,Vancouver,0,1.015241935,1.001451613,6.23E-06,2.01,47183,0.303773585,2,2,2,2
2,2006,0.000249614,2913.265306,2.01,2.01,Vancouver,0.014899211,1.035912409,1.006350365,7.57E-06,2.01,70810,0.364175563,2,3,3,3
2,2015,0.000194791,3151.958763,2.01,2.01,Vancouver,0.015266057,1.022666667,0.994362319,6.25E-06,2.01,70009,0.412753084,3,3,2,4
2,1992,0.000424723,1794.6,2.01,2.01,Vancouver,0.000615511,31.31737537,31.30082795,0.00317574,2.01,49246,0.296508355,2,2,4,2
2,2011,0.000228951,3079.381443,2.01,2.01,Vancouver,0.010050251,1.01942029,0.998768116,6.31E-06,2.01,60252,0.404109589,3,3,2,4
2,2007,0.000217682,2946.488534,2.01,2.01,Vancouver,0.013929419,1.032613985,1.004833915,7.31E-06,2.01,68698,0.372162369,3,3,3,4
2,2012,0.000210255,3097.525773,2.01,2.01,Vancouver,0.011354203,1.020231884,0.997666667,6.29E-06,2.01,62691,0.406270463,3,3,2,4
2,1998,0.000378721,2607.914286,2.01,2.01,Vancouver,0.007806217,91.92991042,91.90154013,0.009515297,2.01,57317,0.252916972,2,3,4,1
2,2013,0.000177944,3115.670103,2.01,2.01,Vancouver,0.012658154,1.021043478,0.996565218,6.28E-06,2.01,65130,0.408431337,3,3,2,4
3,2006,0.000246568,5095.69378,2.04,2.04,Vancouver,0.00431241,287.7367323,287.6859724,0.029995858,2.04,45017,0.475398936,4,2,5,5
3,1996,0.000472737,4782.850624,2.04,2.04,Vancouver,0.016738234,254.6177362,254.571984,0.026531816,2.04,20224,0.325375269,4,1,4,3
3,1994,0.000463882,4664.224248,2.04,2.04,Vancouver,0.01451355,196.645286,196.6128224,0.020468493,2.04,20181,0.34107071,4,1,4,3
3,1997,0.000431322,4829.140507,2.04,2.04,Vancouver,0.014253069,261.2415354,261.1947817,0.027224624,2.04,21417,0.317527549,4,1,4,3
3,2005,0.000253389,5079.415032,2.04,2.04,Vancouver,0.004609263,288.9978096,288.945374,0.030127681,2.04,41252,0.437546482,4,2,5,4
3,2002,0.000314203,5030.578788,2.04,2.04,Vancouver,0.005499822,292.7810415,292.7235791,0.030523151,2.04,29956,0.323989121,4,1,5,3
3,1991,0.000495466,4486.284683,2.04,2.04,Vancouver,0.011176523,109.6866108,109.67408,0.011373507,2.04,20117,0.364613871,4,1,4,3
3,2009,0.000213283,5369.00215,2.04,2.04,Vancouver,0.010733153,371.0028018,370.9497337,0.038705512,2.04,61633,0.476912821,4,3,5,5
3,2014,0.000181904,5603.091787,2.04,2.04,Vancouver,0.012301918,444.8771831,444.8252764,0.046432961,2.04,73814,0.496289313,4,4,5,5
3,2003,0.000257494,5046.857536,2.04,2.04,Vancouver,0.005202969,291.5199642,291.4641774,0.030391328,2.04,33721,0.361841575,4,1,5,3
3,2011,0.000235051,5551.207729,2.04,2.04,Vancouver,0.015013649,426.5135147,426.458908,0.044511948,2.04,72710,0.477922078,4,3,5,5
3,2000,0.000310778,4968.010157,2.04,2.04,Vancouver,0.006797575,281.1129331,281.0631747,0.02930305,2.04,24997,0.293984388,4,1,4,2
3,2008,0.000202999,5277.89936,2.04,2.04,Vancouver,0.008592906,343.2474453,343.1951466,0.035802294,2.04,56094,0.476408193,4,2,5,5
3,1993,0.000515882,4604.91106,2.04,2.04,Vancouver,0.013401208,167.659061,167.6332416,0.017436831,2.04,20160,0.34891843,4,1,4,3
3,2012,0.000216259,5568.502415,2.04,2.04,Vancouver,0.014109738,432.6347375,432.5810308,0.045152286,2.04,73078,0.48404449,4,4,5,5
3,1990,0.000496039,4486.284683,2.04,2.04,Vancouver,0.011176523,109.6866108,109.67408,0.011373507,2.04,20117,0.364613871,4,1,4,3
3,2016,0.000174165,5637.681159,2.04,2.04,Vancouver,0.010494097,457.1196287,457.069522,0.047713636,2.04,74551,0.508534137,4,4,5,5
3,1998,0.00043837,4875.430391,2.04,2.04,Vancouver,0.011767905,267.8653346,267.8175794,0.027917433,2.04,22610,0.309679829,4,1,4,2
3,2001,0.000294969,5014.30004,2.04,2.04,Vancouver,0.005796675,294.0421189,293.9829807,0.030654974,2.04,26191,0.286136667,4,1,5,2
3,1995,0.000420268,4723.537436,2.04,2.04,Vancouver,0.015625892,225.6315111,225.5924032,0.023500154,2.04,20202,0.33322299,4,1,4,3
3,1999,0.000365378,4921.720274,2.04,2.04,Vancouver,0.00928274,274.4891339,274.440377,0.028610241,2.04,23804,0.301832108,4,1,4,2
3,2015,0.000185747,5620.386473,2.04,2.04,Vancouver,0.011398007,450.9984059,450.9473992,0.047073298,2.04,74183,0.502411725,4,4,5,5
3,2007,0.000215152,5186.79657,2.04,2.04,Vancouver,0.006452658,315.4920888,315.4405595,0.032899076,2.04,50556,0.475903565,4,2,5,5
3,1992,0.000513617,4545.597872,2.04,2.04,Vancouver,0.012288865,138.6728359,138.6536608,0.014405169,2.04,20138,0.356766151,4,1,4,3
3,2010,0.00021606,5460.10494,2.04,2.04,Vancouver,0.012873401,398.7581582,398.7043209,0.04160873,2.04,67171,0.47741745,4,3,5,5
3,2004,0.000271787,5063.136284,2.04,2.04,Vancouver,0.004906116,290.2588869,290.2047757,0.030259505,2.04,37486,0.399694029,4,1,5,4
3,2013,0.000183069,5585.797101,2.04,2.04,Vancouver,0.013205828,438.7559603,438.7031536,0.045792623,2.04,73446,0.490166901,4,4,5,5
4,2005,0.00025026,6708.862811,3.01,3.01,Vancouver,0.001158194,120.3534011,120.2875915,0.012486486,3.01,62683,0.50185263,4,3,4,5
4,1995,0.000414404,4568.587423,3.01,3.01,Vancouver,0.014471042,1.022336818,0.957088269,4.28E-06,3.01,14563,0.374489363,4,1,1,4
4,2016,0.000164223,6879.62963,3.01,3.01,Vancouver,0.015027322,1.032409639,0.959879518,4.95E-06,3.01,73472,0.542763158,4,4,1,5
4,1998,0.000428942,5344.969431,3.01,3.01,Vancouver,0.010303831,48.64046692,48.57373289,0.00498514,3.01,32497,0.331672174,4,1,4,3
4,1996,0.00044255,4644.171779,3.01,3.01,Vancouver,0.017173052,1.022682927,0.954634146,4.17E-06,3.01,14499,0.360216967,4,1,1,3
4,2000,0.000304279,6045.767083,3.01,3.01,Vancouver,0.00343461,96.25825091,96.19283163,0.009966112,3.01,50495,0.303127382,4,2,4,2
4,1994,0.000451948,4493.003067,3.01,3.01,Vancouver,0.011769032,1.021990709,0.959542392,4.39E-06,3.01,14628,0.388761759,4,1,1,4
4,1993,0.000493918,4417.418712,3.01,3.01,Vancouver,0.009067023,1.021644599,0.961996516,4.50E-06,3.01,14692,0.403034155,3,1,1,4
4,1997,0.000420721,4994.570605,3.01,3.01,Vancouver,0.013738441,24.83157492,24.76418352,0.002494655,3.01,23498,0.34594457,4,1,4,3
4,1990,0.000467794,4266.25,3.01,3.01,Vancouver,0.003663004,1.020952381,0.966904762,4.72E-06,3.01,14821,0.431578947,3,1,1,4
4,1999,0.00036655,5695.368257,3.01,3.01,Vancouver,0.006869221,72.44935891,72.38328226,0.007475626,3.01,41496,0.317399778,4,2,4,3
4,2014,0.000167877,6921.851852,3.01,3.01,Vancouver,0.016808601,1.031689686,0.953586247,4.59E-06,3.01,67994,0.530819185,4,3,1,5
4,2002,0.00028786,6474.340135,3.01,3.01,Vancouver,0.004632778,121.2121755,121.1432232,0.01257615,3.01,60291,0.342104397,4,3,4,3
4,2011,0.000227683,6985.185185,3.01,3.01,Vancouver,0.019480519,1.030609756,0.944146341,4.04E-06,3.01,59778,0.512903226,4,3,1,5
4,2007,0.000209072,6826.666667,3.01,3.01,Vancouver,0.003896104,96.25983627,96.19073407,0.009966085,3.01,62740,0.546662278,4,3,4,5
4,2008,0.000195572,6866.296296,3.01,3.01,Vancouver,0.007792208,72.45252964,72.37908714,0.007475572,3.01,62000,0.538222515,4,3,4,5
