area,year,mx_mean,population_density,CT.x,CT.y,CSDNAME,Aboriginal,SocScore,MatScore,msd,education,msdgroup,matgroup,socgroup,edugroup,densitygroup
3,2002,2.57E-05,5030.578788,2.04,2.04,Vancouver,0.005499822,-291.7810415,-291.7235791,0.969476849,0.323989121,2,2,2,3,4
3,1991,2.94E-05,4486.284683,2.04,2.04,Vancouver,0.011176523,-108.6866108,-108.67408,0.988626493,0.364613871,2,2,2,5,5
3,2009,2.50E-05,5369.00215,2.04,2.04,Vancouver,0.010733153,-370.0028018,-369.9497337,0.961294488,0.476912821,2,2,2,4,4
3,2014,2.06E-05,5603.091787,2.04,2.04,Vancouver,0.012301918,-443.8771831,-443.8252764,0.953567039,0.496289313,2,2,2,4,4
3,2003,3.84E-05,5046.857536,2.04,2.04,Vancouver,0.005202969,-290.5199642,-290.4641774,0.969608672,0.361841575,2,2,2,3,4
3,2011,3.91E-05,5551.207729,2.04,2.04,Vancouver,0.015013649,-425.5135147,-425.458908,0.955488052,0.477922078,1,1,1,4,4
3,2000,2.60E-05,4968.010157,2.04,2.04,Vancouver,0.006797575,-280.1129331,-280.0631747,0.97069695,0.293984388,2,2,2,3,4
3,2008,2.69E-05,5277.89936,2.04,2.04,Vancouver,0.008592906,-342.2474453,-342.1951466,0.964197706,0.476408193,2,2,2,4,4
3,1993,2.52E-05,4604.91106,2.04,2.04,Vancouver,0.013401208,-166.659061,-166.6332416,0.982563169,0.34891843,1,1,1,5,5
3,2012,2.67E-05,5568.502415,2.04,2.04,Vancouver,0.014109738,-431.6347375,-431.5810308,0.954847714,0.48404449,2,2,2,4,4
3,1990,3.28E-05,4486.284683,2.04,2.04,Vancouver,0.011176523,-108.6866108,-108.67408,0.988626493,0.364613871,2,2,2,5,5
3,2016,2.03E-05,5637.681159,2.04,2.04,Vancouver,0.010494097,-456.1196287,-456.069522,0.952286364,0.508534137,2,2,2,4,4
3,1998,2.35E-05,4875.430391,2.04,2.04,Vancouver,0.011767905,-266.8653346,-266.8175794,0.972082567,0.309679829,2,2,2,4,5
3,2001,2.54E-05,5014.30004,2.04,2.04,Vancouver,0.005796675,-293.0421189,-292.9829807,0.969345026,0.286136667,2,2,2,3,4
3,1995,2.35E-05,4723.537436,2.04,2.04,Vancouver,0.015625892,-224.6315111,-224.5924032,0.976499846,0.33322299,1,1,1,4,5
3,1999,2.47E-05,4921.720274,2.04,2.04,Vancouver,0.00928274,-273.4891339,-273.440377,0.971389759,0.301832108,2,2,2,3,5
3,2015,1.98E-05,5620.386473,2.04,2.04,Vancouver,0.011398007,-449.9984059,-449.9473992,0.952926702,0.502411725,2,2,2,4,4
3,2007,2.83E-05,5186.79657,2.04,2.04,Vancouver,0.006452658,-314.4920888,-314.4405595,0.967100924,0.475903565,2,2,2,4,4
3,1992,2.71E-05,4545.597872,2.04,2.04,Vancouver,0.012288865,-137.6728359,-137.6536608,0.985594831,0.356766151,1,1,1,5,5
3,2010,2.48E-05,5460.10494,2.04,2.04,Vancouver,0.012873401,-397.7581582,-397.7043209,0.95839127,0.47741745,2,2,2,4,4
3,2004,2.58E-05,5063.136284,2.04,2.04,Vancouver,0.004906116,-289.2588869,-289.2047757,0.969740495,0.399694029,2,2,2,4,4
3,2013,2.21E-05,5585.797101,2.04,2.04,Vancouver,0.013205828,-437.7559603,-437.7031536,0.954207377,0.490166901,2,2,2,4,4
4,2005,5.43E-05,6708.862811,3.01,3.01,Vancouver,0.001158194,-119.3534011,-119.2875915,0.987513514,0.50185263,2,2,2,5,5
4,1995,2.94E-05,4568.587423,3.01,3.01,Vancouver,0.014471042,-0.022336818,0.042911731,0.99999572,0.374489363,5,5,3,5,4
4,2016,2.85E-05,6879.62963,3.01,3.01,Vancouver,0.015027322,-0.032409639,0.040120482,0.999995048,0.542763158,5,5,3,5,5
4,1998,3.24E-05,5344.969431,3.01,3.01,Vancouver,0.010303831,-47.64046692,-47.57373289,0.99501486,0.331672174,2,2,2,4,5
4,1996,2.75E-05,4644.171779,3.01,3.01,Vancouver,0.017173052,-0.022682927,0.045365854,0.999995831,0.360216967,5,5,3,5,4
4,2000,3.35E-05,6045.767083,3.01,3.01,Vancouver,0.00343461,-95.25825091,-95.19283163,0.990033888,0.303127382,2,2,2,4,5
4,1994,3.21E-05,4493.003067,3.01,3.01,Vancouver,0.011769032,-0.021990709,0.040457608,0.99999561,0.388761759,5,5,3,5,5
4,1993,4.95E-05,4417.418712,3.01,3.01,Vancouver,0.009067023,-0.021644599,0.038003484,0.9999955,0.403034155,5,5,3,5,4
4,1997,2.86E-05,4994.570605,3.01,3.01,Vancouver,0.013738441,-23.83157492,-23.76418352,0.997505345,0.34594457,2,2,2,5,5
4,1990,4.08E-05,4266.25,3.01,3.01,Vancouver,0.003663004,-0.020952381,0.033095238,0.999995279,0.431578947,5,5,3,5,4
4,1999,3.36E-05,5695.368257,3.01,3.01,Vancouver,0.006869221,-71.44935891,-71.38328226,0.992524374,0.317399778,2,2,2,4,5
4,2014,3.13E-05,6921.851852,3.01,3.01,Vancouver,0.016808601,-0.031689686,0.046413753,0.999995414,0.530819185,5,5,3,5,5
4,2002,3.64E-05,6474.340135,3.01,3.01,Vancouver,0.004632778,-120.2121755,-120.1432232,0.98742385,0.342104397,2,2,2,4,5
4,2011,3.60E-05,6985.185185,3.01,3.01,Vancouver,0.019480519,-0.030609756,0.055853659,0.999995965,0.512903226,5,5,3,5,5
4,2007,3.90E-05,6826.666667,3.01,3.01,Vancouver,0.003896104,-95.25983627,-95.19073407,0.990033915,0.546662278,2,2,2,5,5
4,2008,3.71E-05,6866.296296,3.01,3.01,Vancouver,0.007792208,-71.45252964,-71.37908714,0.992524428,0.538222515,2,2,2,5,5
4,2015,2.99E-05,6900.740741,3.01,3.01,Vancouver,0.015917962,-0.032049662,0.043267117,0.999995231,0.536791171,5,5,3,5,5
4,2004,3.53E-05,6630.688586,3.01,3.01,Vancouver,0.002316389,-119.6396592,-119.5728021,0.987483626,0.448603219,2,2,2,5,5
4,2012,3.87E-05,6964.074074,3.01,3.01,Vancouver,0.01858988,-0.030969733,0.052707024,0.999995781,0.518875212,5,5,3,5,5
4,2001,3.47E-05,6396.165909,3.01,3.01,Vancouver,0.005790972,-120.4984337,-120.4284337,0.987393961,0.288854986,2,2,2,3,5
4,2009,3.24E-05,6905.925926,3.01,3.01,Vancouver,0.011688312,-47.64522301,-47.5674402,0.99501494,0.529782752,2,2,2,5,5
4,1991,3.88E-05,4266.25,3.01,3.01,Vancouver,0.003663004,-0.020952381,0.033095238,0.999995279,0.431578947,5,5,3,5,4
4,2006,5.40E-05,6787.037037,3.01,3.01,Vancouver,0,-119.0671429,-119.002381,0.987543403,0.555102041,2,2,2,5,5
4,2010,3.38E-05,6945.555556,3.01,3.01,Vancouver,0.015584416,-23.83791638,-23.75579327,0.997505452,0.521342989,3,3,3,5,5
4,1992,5.09E-05,4341.834356,3.01,3.01,Vancouver,0.006365013,-0.02129849,0.035549361,0.99999539,0.417306551,5,5,3,5,4
4,2013,3.21E-05,6942.962963,3.01,3.01,Vancouver,0.017699241,-0.031329709,0.049560388,0.999995598,0.524847199,5,5,3,5,5
4,2003,3.47E-05,6552.51436,3.01,3.01,Vancouver,0.003474583,-119.9259174,-119.8580126,0.987453738,0.395353808,2,2,2,4,5
5,2009,3.48E-05,4141.961068,3.02,3.02,Vancouver,0.012962444,-1230.266378,-1230.19651,0.871310311,0.567765337,1,1,1,5,4
5,1995,2.86E-05,4568.587423,3.02,3.02,Vancouver,0.014471042,-85.20195733,-85.12633656,0.991086328,0.389764978,2,2,2,5,4
5,2000,3.26E-05,4134.600122,3.02,3.02,Vancouver,0.012494633,-890.9864138,-890.9139204,0.906799718,0.337497517,1,1,1,5,4
5,2008,3.86E-05,4127.673745,3.02,3.02,Vancouver,0.012416639,-1184.297502,-1184.227533,0.87611874,0.564784734,1,1,1,5,4
5,2016,3.24E-05,4120.535714,3.02,3.02,Vancouver,0.013513514,-1381.988537,-1381.94878,0.855438336,0.590250329,1,1,1,5,4
5,1990,3.97E-05,4266.25,3.02,3.02,Vancouver,0.003663004,-84.03747899,-83.98655462,0.991206842,0.431578947,2,2,2,5,4
5,1994,3.27E-05,4493.003067,3.02,3.02,Vancouver,0.011769032,-84.91083775,-84.84139108,0.991116456,0.400218471,2,2,2,5,5
5,2010,3.35E-05,4156.248391,3.02,3.02,Vancouver,0.013508249,-1276.235255,-1276.165486,0.866501882,0.570745939,1,1,1,5,4
5,1996,4.30E-05,4644.171779,3.02,3.02,Vancouver,0.017173052,-85.49307692,-85.41128205,0.991056199,0.379311486,1,1,1,5,4
5,1991,3.73E-05,4266.25,3.02,3.02,Vancouver,0.003663004,-84.03747899,-83.98655462,0.991206842,0.431578947,2,2,2,5,4
5,1999,3.34E-05,4261.993036,3.02,3.02,Vancouver,0.013664238,-689.6130796,-689.5382608,0.927863838,0.34795101,1,1,1,5,4
5,2005,3.38E-05,4080.720721,3.02,3.02,Vancouver,0.009523522,-1099.956929,-1099.888325,0.884940838,0.512467629,1,1,1,5,4
5,1997,2.79E-05,4516.778865,3.02,3.02,Vancouver,0.016003447,-286.8664111,-286.7869416,0.969992079,0.368857994,1,1,1,5,4
5,1992,3.32E-05,4341.834356,3.02,3.02,Vancouver,0.006365013,-84.32859858,-84.27150011,0.991176714,0.421125455,2,2,2,5,4
5,2007,5.19E-05,4113.386422,3.02,3.02,Vancouver,0.011870833,-1138.328625,-1138.258557,0.880927169,0.561804132,1,1,1,5,4
5,2006,3.72E-05,4099.099099,3.02,3.02,Vancouver,0.011325028,-1092.359748,-1092.28958,0.885735598,0.558823529,1,1,1,5,4
5,1993,3.05E-05,4417.418712,3.02,3.02,Vancouver,0.009067023,-84.61971816,-84.55644559,0.991146585,0.410671963,2,2,2,5,5
5,2004,8.18E-05,4062.342342,3.02,3.02,Vancouver,0.007722016,-1107.55411,-1107.48707,0.884146078,0.466111728,1,1,1,5,4
5,1998,3.08E-05,4389.38595,3.02,3.02,Vancouver,0.014833842,-488.2397454,-488.1626012,0.948927959,0.358404502,1,1,1,5,4
5,2011,3.68E-05,4170.535714,3.02,3.02,Vancouver,0.014054054,-1322.204132,-1322.134463,0.861693453,0.573726542,1,1,1,5,4
5,2001,3.35E-05,4007.207207,3.02,3.02,Vancouver,0.002317497,-1130.345652,-1130.283304,0.881761798,0.327044025,1,1,1,4,4
5,2012,3.93E-05,4160.535714,3.02,3.02,Vancouver,0.013945946,-1334.161013,-1334.097326,0.860442429,0.577031299,1,1,1,5,4
5,2003,3.35E-05,4043.963964,3.02,3.02,Vancouver,0.00592051,-1115.15129,-1115.085814,0.883351318,0.419755827,1,1,1,5,4
5,2002,3.48E-05,4025.585586,3.02,3.02,Vancouver,0.004119003,-1122.748471,-1122.684559,0.882556558,0.373399926,1,1,1,5,4
5,2013,3.17E-05,4150.535714,3.02,3.02,Vancouver,0.013837838,-1346.117894,-1346.06019,0.859191406,0.580336057,1,1,1,5,4
5,2015,2.99E-05,4130.535714,3.02,3.02,Vancouver,0.013621622,-1370.031656,-1369.985917,0.85668936,0.586945572,1,1,1,5,4
5,2014,3.02E-05,4140.535714,3.02,3.02,Vancouver,0.01372973,-1358.074775,-1358.023053,0.857940383,0.583640814,1,1,1,5,4
6,2009,2.91E-05,3651.086928,4.01,4.01,Vancouver,0.011738734,-512.2100302,-512.1462221,0.946419928,0.49876853,1,1,1,4,3
6,2005,2.94E-05,3480.436364,4.01,4.01,Vancouver,0.010559291,-731.1902152,-731.1216094,0.923514473,0.425982634,1,1,1,4,3
6,1995,7.37E-05,3421.064567,4.01,4.01,Vancouver,0.012978819,-66.07755695,-66.04661099,0.993084436,0.320914554,2,2,2,4,4
